day,county_fips,age_group,count
35,51001,a,134
35,51003,a,474
35,51005,a,62
35,51007,a,54
35,51009,a,143
35,51011,a,62
35,51013,a,1316
35,51015,a,325
35,51017,a,19
35,51021,a,31
35,51023,a,133
35,51025,a,81
35,51027,a,111
35,51029,a,83
35,51031,a,245
35,51033,a,131
35,51035,a,122
35,51036,a,30
35,51037,a,50
35,51041,a,1484
35,51043,a,56
35,51045,a,20
35,51047,a,217
35,51049,a,44
35,51051,a,68
35,51053,a,129
35,51057,a,45
35,51059,a,5343
35,51061,a,287
35,51063,a,63
35,51065,a,115
35,51067,a,234
35,51069,a,361
35,51071,a,72
35,51073,a,164
35,51075,a,92
35,51077,a,62
35,51079,a,83
35,51081,a,66
35,51083,a,140
35,51085,a,443
35,51087,a,1482
35,51089,a,226
35,51091,a,7
35,51093,a,151
35,51095,a,263
35,51097,a,28
35,51099,a,112
35,51101,a,72
35,51103,a,35
35,51105,a,117
35,51107,a,1589
35,51109,a,144
35,51111,a,56
35,51113,a,54
35,51115,a,31
35,51117,a,132
35,51119,a,38
35,51121,a,614
35,51125,a,57
35,51127,a,81
35,51131,a,45
35,51133,a,38
35,51135,a,73
35,51137,a,139
35,51139,a,104
35,51141,a,74
35,51143,a,267
35,51145,a,130
35,51147,a,132
35,51149,a,184
35,51153,a,2033
35,51155,a,151
35,51157,a,27
35,51159,a,45
35,51161,a,390
35,51163,a,88
35,51165,a,335
35,51167,a,126
35,51169,a,98
35,51171,a,174
35,51173,a,138
35,51175,a,81
35,51177,a,581
35,51179,a,643
35,51181,a,29
35,51183,a,63
35,51185,a,193
35,51187,a,174
35,51191,a,239
35,51193,a,67
35,51195,a,200
35,51197,a,125
35,51199,a,295
35,51510,a,845
35,51520,a,79
35,51530,a,31
35,51540,a,289
35,51550,a,1068
35,51570,a,74
35,51580,a,25
35,51590,a,180
35,51595,a,25
35,51600,a,112
35,51610,a,55
35,51620,a,35
35,51630,a,144
35,51640,a,29
35,51650,a,696
35,51660,a,351
35,51670,a,104
35,51678,a,47
35,51680,a,412
35,51683,a,191
35,51685,a,78
35,51690,a,58
35,51700,a,955
35,51710,a,1426
35,51720,a,18
35,51730,a,153
35,51735,a,50
35,51740,a,461
35,51750,a,121
35,51760,a,1170
35,51770,a,464
35,51775,a,113
35,51790,a,105
35,51800,a,397
35,51810,a,2256
35,51820,a,94
35,51830,a,95
35,51840,a,132
35,51001,g,61
35,51003,g,133
35,51005,g,31
35,51007,g,19
35,51009,g,51
35,51011,g,25
35,51013,g,172
35,51015,g,112
35,51017,g,10
35,51021,g,11
35,51023,g,51
35,51025,g,28
35,51027,g,37
35,51029,g,23
35,51031,g,82
35,51033,g,35
35,51035,g,56
35,51036,g,11
35,51037,g,22
35,51041,g,307
35,51043,g,21
35,51045,g,8
35,51047,g,54
35,51049,g,15
35,51051,g,25
35,51053,g,36
35,51057,g,18
35,51059,g,1005
35,51061,g,78
35,51063,g,25
35,51065,g,38
35,51067,g,94
35,51069,g,93
35,51071,g,29
35,51073,g,51
35,51075,g,30
35,51077,g,31
35,51079,g,22
35,51081,g,14
35,51083,g,67
35,51085,g,124
35,51087,g,362
35,51089,g,102
35,51091,g,5
35,51093,g,48
35,51095,g,129
35,51097,g,11
35,51099,g,22
35,51101,g,18
35,51103,g,33
35,51105,g,39
35,51107,g,187
35,51109,g,45
35,51111,g,21
35,51113,g,22
35,51115,g,21
35,51117,g,65
35,51119,g,26
35,51121,g,88
35,51125,g,28
35,51127,g,20
35,51131,g,27
35,51133,g,35
35,51135,g,26
35,51137,g,57
35,51139,g,40
35,51141,g,38
35,51143,g,104
35,51145,g,31
35,51147,g,31
35,51149,g,34
35,51153,g,253
35,51155,g,59
35,51157,g,13
35,51159,g,16
35,51161,g,151
35,51163,g,44
35,51165,g,114
35,51167,g,45
35,51169,g,43
35,51171,g,74
35,51173,g,56
35,51175,g,27
35,51177,g,113
35,51179,g,88
35,51181,g,10
35,51183,g,17
35,51185,g,74
35,51187,g,46
35,51191,g,92
35,51193,g,34
35,51195,g,56
35,51197,g,49
35,51199,g,74
35,51510,g,122
35,51520,g,32
35,51530,g,10
35,51540,g,39
35,51550,g,220
35,51570,g,32
35,51580,g,11
35,51590,g,80
35,51595,g,10
35,51600,g,29
35,51610,g,12
35,51620,g,14
35,51630,g,23
35,51640,g,13
35,51650,g,161
35,51660,g,39
35,51670,g,32
35,51678,g,10
35,51680,g,102
35,51683,g,24
35,51685,g,7
35,51690,g,26
35,51700,g,186
35,51710,g,223
35,51720,g,5
35,51730,g,46
35,51735,g,17
35,51740,g,122
35,51750,g,13
35,51760,g,221
35,51770,g,134
35,51775,g,40
35,51790,g,45
35,51800,g,92
35,51810,g,443
35,51820,g,34
35,51830,g,17
35,51840,g,35
35,51001,o,83
35,51003,o,210
