fips,day,count
56001,1,46
56001,2,136
56001,3,181
56001,4,119
56001,5,179
56003,1,50
56003,2,33
56003,3,96
56003,4,53
56003,5,180
56005,1,91
56005,2,132
56005,3,143
56005,4,159
56005,5,79
56007,1,14
56007,2,97
56007,3,112
56007,4,134
56007,5,10
56009,1,96
56009,2,132
56009,3,135
56009,4,158
56009,5,17
56011,1,66
56011,2,93
56011,3,118
56011,4,21
56011,5,62
56013,1,137
56013,2,186
56013,3,157
56013,4,160
56013,5,18
56015,1,186
56015,2,155
56015,3,93
56015,4,158
56015,5,69
56017,1,145
56017,2,101
56017,3,117
56017,4,60
56017,5,164
56019,1,47
56019,2,70
56019,3,162
56019,4,136
56019,5,179
56021,1,29
56021,2,98
56021,3,174
56021,4,164
56021,5,102
56023,1,150
56023,2,179
56023,3,61
56023,4,80
56023,5,10
56025,1,33
56025,2,92
56025,3,46
56025,4,77
56025,5,145
56027,1,86
56027,2,87
56027,3,121
56027,4,113
56027,5,120
56029,1,142
56029,2,40
56029,3,20
56029,4,144
56029,5,8
56031,1,72
56031,2,131
56031,3,61
56031,4,101
56031,5,128
56033,1,39
56033,2,100
56033,3,107
56033,4,70
56033,5,165
56035,1,45
56035,2,161
56035,3,112
56035,4,53
56035,5,178
56037,1,96
56037,2,158
56037,3,56
56037,4,88
56037,5,130
56039,1,68
56039,2,70
56039,3,130
56039,4,13
56039,5,13
56041,1,151
56041,2,55
56041,3,76
56041,4,49
56041,5,146
56043,1,142
56043,2,111
56043,3,110
56043,4,62
56043,5,105
56045,1,90
56045,2,50
56045,3,24
56045,4,139
56045,5,47
